"School","Conference"
"Abilene Christian","Southland"
"Adams State","Rocky Mountain"
"Adrian","Michigan"
"Air Force","Mountain West"
"Akron","Mid-American"
"Alabama","SEC"
"Alabama A&M","SWAC"
"Alabama State","SWAC"
"Albany State GA","SIAC"
"Albion","Michigan"
"Albright","Mid Atlantic"
"Alcorn State","SWAC"
"Alderson-Broaddus","Great Midwest Athletic"
"Alfred State","ECFC"
"Alfred University","Empire 8"
"Allegheny","North Coast"
"Allen","SIAC"
"Alma","Michigan"
"American International","Northeast 10"
"Amherst","NESCAC"
"Anderson (IN)","Heartland"
"Angelo State","Lone Star"
"Anna Maria College","ECFC"
"Apprentice School","Independent DIII"
"App State","Sun Belt"
"Arizona","Pac-12"
"Arizona State","Pac-12"
"Arkansas","SEC"
"Arkansas-Monticello","Great American"
"Arkansas-Pine Bluff","SWAC"
"Arkansas State","Sun Belt"
"Arkansas Tech","Great American"
"Army","FBS Independents"
"Ashland","GLIAC"
"Assumption","Northeast 10"
"Auburn","SEC"
"Augsburg","Minnesota"
"Augustana (IL)","CCIW"
"Augustana University (SD)","Northern Sun"
"Aurora","NACC"
"Austin","Southern Athletic"
"Austin Peay","OVC"
"Averett","USA South"
"Azusa Pacific","Great Northwest"
"Baldwin Wallace","Ohio"
"Ball State","Mid-American"
"Bates","NESCAC"
"Baylor","Big 12"
"Becker College","Commonwealth Coast"
"Beloit","Midwest"
"Bemidji State","Northern Sun"
"Benedict College","SIAC"
"Benedictine University","NACC"
"Bentley","Northeast 10"
"Berry College","Southern Athletic"
"Bethany (WV)","Presidents'"
"Bethel (MN)","Minnesota"
"Bethune-Cookman","MEAC"
"Biddeford","Commonwealth Coast"
"Birmingham-Southern","Southern Athletic"
"Black Hills State","Rocky Mountain"
"Bloomsburg","Pennsylvania State Athletic"
"Bluefield State","Independent DII"
"Bluffton","Heartland"
"Boise State","Mountain West"
"Boston College","ACC"
"Bowdoin","NESCAC"
"Bowie State","CIAA"
"Bowling Green","Mid-American"
"Brevard College","USA South"
"Bridgewater State","MSCAC"
"Bridgewater (VA)","Old Dominion"
"Brockport","Empire 8"
"Brown","Ivy"
"Bryant","NEC"
"Bucknell","Patriot"
"Buena Vista","American Rivers"
"Buffalo","Mid-American"
"Buffalo State","Empire 8"
"Butler","Pioneer"
"BYU","FBS Independents"
"California","Pac-12"
"California Lutheran University","So. Cal."
"Cal Poly","Big Sky"
"Campbell","Pioneer"
"Capital","Ohio"
"Carleton","Minnesota"
"Carnegie Mellon","Presidents'"
"Carroll University (WI)","CCIW"
"Carson-Newman College","South Atlantic"
"Carthage","CCIW"
"Case Western Reserve","Presidents'"
"Castleton","ECFC"
"Catawba","South Atlantic"
"Catholic","NEWMAC"
"Central Arkansas","Southland"
"Central College","American Rivers"
"Central Connecticut","NEC"
"Central Michigan","Mid-American"
"Central Missouri","Mid America"
"Central Oklahoma","Mid America"
"Central State (OH)","SIAC"
"Central Washington","Great Northwest"
"Centre College Kentucky","Southern Athletic"
"Chadron St","Rocky Mountain"
"Chapman","So. Cal."
"Charleston Southern","Big South"
"Charlotte","Conference USA"
"Chattanooga","Southern"
"Cheyney","Pennsylvania State Athletic"
"Chicago","Midwest"
"Christopher Newport","New Jersey"
"Cincinnati","American Athletic"
"Claremont-Mudd-Scripps College","So. Cal."
"Clarion","Pennsylvania State Athletic"
"Clark Atlanta","SIAC"
"Clemson","ACC"
"Coastal Carolina","Sun Belt"
"Coast Guard","NEWMAC"
"Coe College","American Rivers"
"Colby College","NESCAC"
"Colgate","Patriot"
"College Of New Jersey","New Jersey"
"Colorado","Pac-12"
"Colorado Mesa","Rocky Mountain"
"Colorado School Of Mines","Rocky Mountain"
"Colorado State","Mountain West"
"Columbia","Ivy"
"Concordia Moorhead","Minnesota"
"Concordia University Chicago","NACC"
"Concordia University St Paul","Northern Sun"
"Concordia-Wisconsin","NACC"
"Concord University","Mountain East"
"Cornell","Ivy"
"Cornell College (IA)","Midwest"
"Cortland","Empire 8"
"Crown College","Upper Midwest"
"CSU Pueblo","Rocky Mountain"
"Curry College","Commonwealth Coast"
"Dartmouth","Ivy"
"Davenport","GLIAC"
"Davidson","Pioneer"
"Dayton","Pioneer"
"Dean College","ECFC"
"Defiance College","Heartland"
"Delaware","CAA"
"Delaware State","MEAC"
"Delaware Valley","Mid Atlantic"
"Delta State","Gulf South"
"Denison University","North Coast"
"Depauw","North Coast"
"Dickinson (PA)","Centennial"
"Drake","Pioneer"
"Dubuque","American Rivers"
"Duke","ACC"
"Duquesne","NEC"
"Earlham","Heartland"
"East Carolina","American Athletic"
"East Central (OK)","Great American"
"Eastern Illinois","OVC"
"Eastern Kentucky","OVC"
"Eastern Michigan","Mid-American"
"Eastern New Mexico","Lone Star"
"Eastern Washington","Big Sky"
"East Stroudsburg University","Pennsylvania State Athletic"
"East Tennessee State","Southern"
"East Texas A&M","Lone Star"
"East Texas Baptist University","American Southwest"
"Edinboro University","Pennsylvania State Athletic"
"Edward Waters","SIAC"
"Elizabeth City State","CIAA"
"Elmhurst","CCIW"
"Elon","CAA"
"Emory & Henry College","Old Dominion"
"Emporia State University","Mid America"
"Endicott College","Commonwealth Coast"
"ERSKINE","Independent DII"
"Eureka College","Upper Midwest"
"Fairmont State","Mountain East"
"Fayetteville State","CIAA"
"FDU-Florham","Mid Atlantic"
"Ferris State","GLIAC"
"Ferrum","USA South"
"Findlay","Great Midwest Athletic"
"Fitchburg State","MSCAC"
"Florida","SEC"
"Florida A&M","MEAC"
"Florida Atlantic","Conference USA"
"Florida International","Conference USA"
"Florida State","ACC"
"Florida Tech","Gulf South"
"Fordham","Patriot"
"Fort Hays State","Mid America"
"Fort Lewis","Rocky Mountain"
"Fort Valley State","SIAC"
"Framingham State","MSCAC"
"Franklin","Heartland"
"Franklin & Marshall","Centennial"
"Franklin Pierce","Northeast 10"
"Fresno State","Mountain West"
"Frostburg State","New Jersey"
"Furman","Southern"
"Gallaudet","ECFC"
"Gannon","Pennsylvania State Athletic"
"Gardner-Webb","Big South"
"Geneva","Presidents'"
"Georgetown","Patriot"
"Georgia","SEC"
"Georgia Southern","Sun Belt"
"Georgia State","Sun Belt"
"Georgia Tech","ACC"
"Gettysburg","Centennial"
"Glenville State","Mountain East"
"Grambling","SWAC"
"Grand Valley State University","GLIAC"
"Greeneville","South Atlantic"
"Greensboro College","USA South"
"Greenville","Upper Midwest"
"Grinnell","Midwest"
"Grove City College","Presidents'"
"Guilford College","Old Dominion"
"Gustavus Adolphus","Minnesota"
"Hamilton","NESCAC"
"Hamline University","Minnesota"
"Hampden-Sydney","Old Dominion"
"Hampton","MEAC"
"Hanover College","Heartland"
"Harding University","Great American"
"Hardin-Simmons","American Southwest"
"Hartwick","Empire 8"
"Harvard","Ivy"
"Hawai'i","Mountain West"
"Heidelberg","Ohio"
"Henderson State","Great American"
"Hendrix College","Southern Athletic"
"Hillsdale","Great Midwest Athletic"
"Hiram College","North Coast"
"Hobart College","Liberty League"
"Holy Cross","Patriot"
"Hope College","Michigan"
"Houston","American Athletic"
"Houston Christian","Southland"
"Howard","MEAC"
"Howard Payne","American Southwest"
"Humboldt State","Great Northwest"
"Huntingdon College (AL)","USA South"
"Husson","ECFC"
"Idaho","Sun Belt"
"Idaho State","Big Sky"
"Illinois","Big Ten"
"Illinois College","Midwest"
"Illinois State","MVFC"
"Illinois Wesleyan","CCIW"
"Incarnate Word","Southland"
"Indiana","Big Ten"
"Indiana-Pennsylvania","Pennsylvania State Athletic"
"Indianapolis","Great Lakes"
"Indiana State","MVFC"
"Iowa","Big Ten"
"Iowa State","Big 12"
"Iowa Wesleyan","Upper Midwest"
"Ithaca College","Liberty League"
"Jackson State","SWAC"
"Jacksonville","Pioneer"
"Jacksonville State","OVC"
"James Madison","CAA"
"John Carroll University","Ohio"
"Johns Hopkins University","Centennial"
"Johnson C Smith","CIAA"
"Juniata College","Centennial"
"Kalamazoo","Michigan"
"Kansas","Big 12"
"Kansas State","Big 12"
"Kennesaw State","Big South"
"Kent State","Mid-American"
"Kentucky","SEC"
"Kentucky State","SIAC"
"Kentucky Wesleyan","Great Midwest Athletic"
"Kenyon","North Coast"
"Keystone","ECFC"
"Kings College (PA)","Mid Atlantic"
"Kutztown University","Pennsylvania State Athletic"
"Lafayette","Patriot"
"Lagrange College","USA South"
"Lake Erie","Great Midwest Athletic"
"Lake Forest College","Midwest"
"Lamar","Southland"
"La Verne","So. Cal."
"Lawrence University","Midwest"
"Lebanon Valley","Mid Atlantic"
"Lehigh","Patriot"
"Lenoir-Rhyne","South Atlantic"
"Lewis & Clark College","Northwest"
"Liberty","Big South"
"Limestone","South Atlantic"
"Lincoln (MO)","Great Lakes"
"Lincoln (PA)","CIAA"
"Lindenwood","Mid America"
"Linfield College","Northwest"
"LIU Post","Northeast 10"
"Livingstone","CIAA"
"Lock Haven University","Pennsylvania State Athletic"
"Long Island University","NEC"
"Louisiana","Sun Belt"
"Louisiana College","American Southwest"
"Louisiana Tech","Conference USA"
"Louisville","ACC"
"LSU","SEC"
"Luther","American Rivers"
"Lycoming","Mid Atlantic"
"Macalester","Minnesota"
"MacMurray College","Upper Midwest"
"Maine","CAA"
"Maine Maritime","NEWMAC"
"Malone","Great Midwest Athletic"
"Manchester","Heartland"
"Marietta","Ohio"
"Marist","Pioneer"
"Marshall","Conference USA"
"Mars Hill","South Atlantic"
"Martin Luther","Upper Midwest"
"Mary Hardin-Baylor","American Southwest"
"Maryland","Big Ten"
"Maryville College (TN)","USA South"
"Massachusetts","FBS Independents"
"Mass Maritime","MSCAC"
"McDaniel College","Centennial"
"McMurry","American Southwest"
"McNeese","Southland"
"Memphis","American Athletic"
"Mercer","Southern"
"Merchant Marine Academy","NEWMAC"
"Mercyhurst","Pennsylvania State Athletic"
"Merrimack","Northeast 10"
"Methodist","USA South"
"Miami","ACC"
"Miami (OH)","Mid-American"
"Michigan","Big Ten"
"Michigan State","Big Ten"
"Michigan Tech","GLIAC"
"Middlebury","NESCAC"
"Middle Tennessee","Conference USA"
"Midwestern State","Lone Star"
"Miles College","SIAC"
"Millersville","Pennsylvania State Athletic"
"Millikin","CCIW"
"Millsaps","Southern Athletic"
"Minnesota","Big Ten"
"Minnesota-Crookston","Northern Sun"
"Minnesota Duluth","Northern Sun"
"Minnesota Morris","Upper Midwest"
"Minnesota State Mankato","Northern Sun"
"Minnesota State Moorhead","Northern Sun"
"Minot State","Northern Sun"
"Misericordia","Mid Atlantic"
"Mississippi College","Gulf South"
"Mississippi State","SEC"
"Mississippi Valley State","SWAC"
"Missouri","SEC"
"Missouri Southern State","Mid America"
"Missouri S&T","Great Lakes"
"Missouri State","MVFC"
"Missouri Western","Mid America"
"Monmouth","Big South"
"Monmouth (IL)","Midwest"
"Montana","Big Sky"
"Montana State","Big Sky"
"Montclair State","New Jersey"
"Moravian","Centennial"
"Morehead State","Pioneer"
"Morehouse College","SIAC"
"Morgan State","MEAC"
"Mount Ida College","ECFC"
"Mount St. Joseph","Heartland"
"Muhlenberg","Centennial"
"Murray State","OVC"
"Muskingum University","Ohio"
"Navy","American Athletic"
"NC State","ACC"
"Nebraska","Big Ten"
"Nebraska-Kearney","Mid America"
"Nevada","Mountain West"
"NEWBERG","Northwest"
"Newberry","South Atlantic"
"New Hampshire","CAA"
"New Haven","Northeast 10"
"New Mexico","Mountain West"
"New Mexico Highlands","Rocky Mountain"
"New Mexico State","Sun Belt"
"Nicholls","Southland"
"Nichols College","Commonwealth Coast"
"Norfolk State","MEAC"
"North Alabama","Gulf South"
"North Carolina","ACC"
"North Carolina A&T","MEAC"
"North Carolina Central","MEAC"
"North Carolina Wesleyan","USA South"
"North Central College","CCIW"
"North Dakota","Big Sky"
"North Dakota State","MVFC"
"Northeastern State","Mid America"
"Northern Arizona","Big Sky"
"Northern Colorado","Big Sky"
"Northern Illinois","Mid-American"
"Northern Iowa","MVFC"
"Northern Michigan","GLIAC"
"Northern State","Northern Sun"
"North Greenville","Independent DII"
"North Park","CCIW"
"North Texas","Conference USA"
"Northwestern","Big Ten"
"Northwestern (MN)","Upper Midwest"
"Northwestern Oklahoma State","Great American"
"Northwestern State","Southland"
"Northwest Missouri St","Mid America"
"Northwood (MI)","GLIAC"
"Norwich","NEWMAC"
"Notre Dame","FBS Independents"
"Notre Dame College","Mountain East"
"Oberlin","North Coast"
"Occidental","So. Cal."
"Ohio","Mid-American"
"Ohio Dominican","Great Midwest Athletic"
"Ohio Northern","Ohio"
"Ohio State","Big Ten"
"Ohio Wesleyan","North Coast"
"Oklahoma","Big 12"
"Oklahoma Baptist","Great American"
"Oklahoma Panhandle St","Independent DII"
"Oklahoma State","Big 12"
"Old Dominion","Conference USA"
"Ole Miss","SEC"
"Olivet College","Michigan"
"Oregon","Pac-12"
"Oregon State","Pac-12"
"Otterbein","Ohio"
"Ouachita Baptist","Great American"
"Pace","Northeast 10"
"Pacific Lutheran","Northwest"
"Pacific (OR)","Northwest"
"Penn State","Big Ten"
"Pennsylvania","Ivy"
"PennWest California","Pennsylvania State Athletic"
"Pittsburgh","ACC"
"Pittsburg St","Mid America"
"Plymouth State","MSCAC"
"Pomona Pitzer","So. Cal."
"Portland State","Big Sky"
"Prairie View A&M","SWAC"
"Presbyterian","Big South"
"Princeton","Ivy"
"Puget Sound","Northwest"
"Purdue","Big Ten"
"Quincy","Great Lakes"
"Randolph-Macon","Old Dominion"
"Reading","Mid Atlantic"
"Redlands","So. Cal."
"Rensselaer","Liberty League"
"Rhode Island","CAA"
"Rhodes College","Southern Athletic"
"Rice","Conference USA"
"Richmond","CAA"
"Ripon","Midwest"
"Robert Morris","NEC"
"Rockford","NACC"
"Rose-Hulman","Heartland"
"Rowan","New Jersey"
"Rutgers","Big Ten"
"Sacramento State","Big Sky"
"Sacred Heart","NEC"
"Saginaw Valley State","GLIAC"
"Saint John's (MN)","Minnesota"
"Saint Vincent","Presidents'"
"Salisbury","New Jersey"
"Salve Regina","Commonwealth Coast"
"Samford","Southern"
"Sam Houston","Southland"
"San Diego","Pioneer"
"San Diego State","Mountain West"
"San José State","Mountain West"
"Savannah St","MEAC"
"SE Louisiana","Southland"
"Seton Hill","Pennsylvania State Athletic"
"Sewanee","Southern Athletic"
"Shaw","CIAA"
"Shenandoah","Old Dominion"
"Shepherd","Mountain East"
"Shippensburg","Pennsylvania State Athletic"
"Simon Fraser","Great Northwest"
"Simpson College (IA)","American Rivers"
"Slippery Rock","Pennsylvania State Athletic"
"SMU","American Athletic"
"South Alabama","Sun Belt"
"South Carolina","SEC"
"South Carolina State","MEAC"
"South Dakota","MVFC"
"South Dakota Mines","Rocky Mountain"
"South Dakota State","MVFC"
"Southeastern Oklahoma State","Great American"
"Southeast Missouri State","OVC"
"Southern","SWAC"
"Southern Arkansas","Great American"
"Southern Connecticut State","Northeast 10"
"Southern Illinois","MVFC"
"Southern Miss","Conference USA"
"Southern Nazarene","Great American"
"Southern Utah","Big Sky"
"Southern Virginia","New Jersey"
"South Florida","American Athletic"
"Southwest Baptist","Great Lakes"
"Southwestern Oklahoma State","Great American"
"Southwest Minnesota State","Northern Sun"
"Springfield","NEWMAC"
"Stanford","Pac-12"
"St. Anselm","Northeast 10"
"St. Augustine's","CIAA"
"St. Cloud State","Northern Sun"
"Stephen F. Austin","Southland"
"Stetson","Pioneer"
"Stevenson","Mid Atlantic"
"St. Francis (PA)","NEC"
"St John Fisher University","Empire 8"
"St. Joseph's (IN)","Great Lakes"
"St. Lawrence","Liberty League"
"St. Norbert","NACC"
"St. Olaf","Minnesota"
"Stonehill","Northeast 10"
"Stony Brook","CAA"
"St. Scholastica","Upper Midwest"
"St. Thomas (MN)","Minnesota"
"Sul Ross State","American Southwest"
"SUNY Maritime","ECFC"
"SUNY Morrisville","Empire 8"
"Susquehanna","Centennial"
"Syracuse","ACC"
"Tarleton State","Lone Star"
"TCU","Big 12"
"Temple","American Athletic"
"Tennessee","SEC"
"Tennessee State","OVC"
"Tennessee Tech","OVC"
"Texas","Big 12"
"Texas A&M","SEC"
"Texas A&M-Kingsville","Lone Star"
"Texas Lutheran","American Southwest"
"Texas Southern","SWAC"
"Texas State","Sun Belt"
"Texas Tech","Big 12"
"The Citadel","Southern"
"Thomas More College","Presidents'"
"Tiffin University","Great Midwest Athletic"
"Toledo","Mid-American"
"Towson","CAA"
"Trine University","Michigan"
"Trinity (CT)","NESCAC"
"Trinity University TX","Southern Athletic"
"Troy","Sun Belt"
"Truman State","Great Lakes"
"Tufts","NESCAC"
"Tulane","American Athletic"
"Tulsa","American Athletic"
"Tuskegee","SIAC"
"UAB","Conference USA"
"UAlbany","CAA"
"UC Davis","Big Sky"
"UCF","American Athletic"
"UCLA","Pac-12"
"UConn","American Athletic"
"UL Monroe","Sun Belt"
"UMass Dartmouth","MSCAC"
"UNC Pembroke","Independent DII"
"Union (NY)","Liberty League"
"University Of Charleston (WV)","Mountain East"
"University of Mount Union","Ohio"
"University of Rochester (NY)","Liberty League"
"UNLV","Mountain West"
"Upper Iowa University","Northern Sun"
"Urbana","Mountain East"
"Ursinus","Centennial"
"USC","Pac-12"
"Utah","Pac-12"
"Utah State","Mountain West"
"Utah Tech","Rocky Mountain"
"UTEP","Conference USA"
"Utica","Empire 8"
"UT Martin","OVC"
"UT Permian Basin","Lone Star"
"UTSA","Conference USA"
"UVA Wise","Mountain East"
"Valdosta State","Gulf South"
"Valparaiso","Pioneer"
"Vanderbilt","SEC"
"Villanova","CAA"
"Virginia","ACC"
"Virginia St","CIAA"
"Virginia Tech","ACC"
"VMI","Southern"
"Wabash College","North Coast"
"Wagner","NEC"
"Wake Forest","ACC"
"Walsh","Great Midwest Athletic"
"Wartburg","American Rivers"
"Washburn","Mid America"
"Washington","Pac-12"
"Washington and Lee","Old Dominion"
"Washington & Jefferson","Presidents'"
"Washington State","Pac-12"
"Washington University (St. Louis)","Independent DIII"
"Waynesburg","Presidents'"
"Wayne State (MI)","GLIAC"
"Wayne State (NE)","Northern Sun"
"Weber State","Big Sky"
"Wesleyan University (CT)","NESCAC"
"Wesley College","New Jersey"
"West Alabama","Gulf South"
"West Chester","Pennsylvania State Athletic"
"Western Carolina","Southern"
"Western Colorado","Rocky Mountain"
"Western Connecticut St","MSCAC"
"Western Illinois","MVFC"
"Western Kentucky","Conference USA"
"Western Michigan","Mid-American"
"Western New England","Commonwealth Coast"
"Western New Mexico","Lone Star"
"Western Oregon","Great Northwest"
"Westfield State","MSCAC"
"West Florida","Gulf South"
"West Georgia","Gulf South"
"West Liberty","Mountain East"
"Westminster College (MO)","Upper Midwest"
"Westminster (PA)","Presidents'"
"West Texas A&M","Lone Star"
"West Virginia","Big 12"
"West Virginia State","Mountain East"
"West Virginia Wesleyan","Mountain East"
"Wheaton","CCIW"
"Wheeling","Mountain East"
"Whittier","So. Cal."
"Whitworth","Northwest"
"Widener","Mid Atlantic"
"Wilkes","Mid Atlantic"
"Willamette","Northwest"
"William Jewell","Great Lakes"
"William & Mary","CAA"
"William Paterson","New Jersey"
"Williams","NESCAC"
"Wilmington (OH)","Ohio"
"Wilson","Independent DII"
"Wingate","South Atlantic"
"Winona State","Northern Sun"
"Winston-Salem","CIAA"
"Wisconsin","Big Ten"
"Wisconsin-Eau Claire","Wisconsin"
"Wisconsin-Lacrosse","Wisconsin"
"Wisconsin-Lutheran","NACC"
"Wisconsin-Oshkosh","Wisconsin"
"Wisconsin-Platteville","Wisconsin"
"Wisconsin-River Falls","Wisconsin"
"Wisconsin-Stevens Pt","Wisconsin"
