"School","Conference"
"Abilene Christian","FCS Independents"
"Air Force","Mountain West"
"Akron","Mid-American"
"Alabama","SEC"
"Alabama A&M","SWAC"
"Alabama State","SWAC"
"Alcorn State","SWAC"
"App State","Southern"
"Arizona","Pac-12"
"Arizona State","Pac-12"
"Arkansas","SEC"
"Arkansas-Pine Bluff","SWAC"
"Arkansas State","Sun Belt"
"Army","FBS Independents"
"Auburn","SEC"
"Austin Peay","OVC"
"Ball State","Mid-American"
"Baylor","Big 12"
"Bethune-Cookman","MEAC"
"Boise State","Mountain West"
"Boston College","ACC"
"Bowling Green","Mid-American"
"Brown","Ivy"
"Bryant","NEC"
"Bucknell","Patriot"
"Buffalo","Mid-American"
"Butler","Pioneer"
"BYU","FBS Independents"
"California","Pac-12"
"Cal Poly","Big Sky"
"Campbell","Pioneer"
"Central Arkansas","Southland"
"Central Connecticut","NEC"
"Central Michigan","Mid-American"
"Charleston Southern","Big South"
"Charlotte","FCS Independents"
"Chattanooga","Southern"
"Cincinnati","American Athletic"
"Clemson","ACC"
"Coastal Carolina","Big South"
"Colgate","Patriot"
"Colorado","Pac-12"
"Colorado State","Mountain West"
"Columbia","Ivy"
"Cornell","Ivy"
"Dartmouth","Ivy"
"Davidson","Pioneer"
"Dayton","Pioneer"
"Delaware","CAA"
"Delaware State","MEAC"
"Drake","Pioneer"
"Duke","ACC"
"Duquesne","NEC"
"East Carolina","Conference USA"
"Eastern Illinois","OVC"
"Eastern Kentucky","OVC"
"Eastern Michigan","Mid-American"
"Eastern Washington","Big Sky"
"East Tennessee State","FCS Independents"
"Elon","Southern"
"Florida","SEC"
"Florida A&M","MEAC"
"Florida Atlantic","Conference USA"
"Florida International","Conference USA"
"Florida State","ACC"
"Fordham","Patriot"
"Fresno State","Mountain West"
"Furman","Southern"
"Gardner-Webb","Big South"
"Georgetown","Patriot"
"Georgia","SEC"
"Georgia Southern","Southern"
"Georgia State","Sun Belt"
"Georgia Tech","ACC"
"Grambling","SWAC"
"Hampton","MEAC"
"Harvard","Ivy"
"Hawai'i","Mountain West"
"Holy Cross","Patriot"
"Houston","American Athletic"
"Houston Christian","FCS Independents"
"Howard","MEAC"
"Idaho","FBS Independents"
"Idaho State","Big Sky"
"Illinois","Big Ten"
"Illinois State","MVFC"
"Incarnate Word","FCS Independents"
"Indiana","Big Ten"
"Indiana State","MVFC"
"Iowa","Big Ten"
"Iowa State","Big 12"
"Jackson State","SWAC"
