year,Team,Predicted Rank,Actual Rank
2013,miami,113,25
2014,alabama,1,1
2014,oregon,2,2
2014,marshall,3,
2014,tcu,4,6
2014,ohio st.,5,
2014,michigan st.,6,
2014,baylor,7,4
2014,georgia tech,8,9
2014,georgia,9,13
2014,ole miss,10,9
2014,louisiana tech,11,
2014,arizona,12,10
2014,western ky.,13,
2014,memphis,14,
2014,missouri,15,14
2014,southern california,16,
2014,ucla,17,14
2014,washington,18,
2014,clemson,19,17
2014,florida,20,
2014,bowling green,21,
2014,la.-monroe,22,
2014,syracuse,23,
2014,central florida,24,
2014,temple,25,
2014,houston,26,
2014,arkansas,27,
2014,byu,28,
2014,california,29,
2014,wisconsin,30,17
2014,fiu,31,
2014,tennessee,32,
2014,arkansas state,33,
2014,new mexico st.,34,
2014,mississippi state,35,
2014,wake forest,36,
2014,virginia,37,
2014,virginia tech,38,
2014,idaho,39,
2014,pittsburgh,40,
2014,arizona state,41,
2014,lsu,42,22
2014,michigan,43,
2014,rice,44,
2014,maryland,45,
2014,penn state,46,
2014,texas st.,47,
2014,stanford,48,
2014,buffalo,49,
2014,akron,50,
2014,kansas st.,51,
2014,west virginia,52,
2014,northern ill.,53,
2014,alabama-birmingham,54,
2014,north texas,55,
2014,texas,56,
2014,kent state,57,
2014,miami,58,
2014,kentucky,59,
2014,miami,60,
2014,georgia state,61,
2014,texas-san antonio,62,
2014,auburn,63,19
2014,boston college,64,
2014,illinois,65,
2014,florida state,66,
2014,western michigan,67,
2014,texas-el paso,68,
2014,texas a&m,69,
2014,north carolina state,70,
2014,troy university,71,
2014,toledo,72,
2014,navy,73,
2014,tulane,74,
2014,southern miss,75,
2014,texas tech,76,
2014,northwestern,77,
2014,northwestern,78,
2014,east carolina,79,
2014,iowa,80,
2014,colorado,81,
2014,duke,82,
2014,north carolina,83,
2014,oregon state,84,
2014,louisville,85,20
2014,army,86,
2014,connecticut,87,
2014,south fla.,88,
2014,ball state,89,
2014,nebraska,90,22
2014,oklahoma state,91,
2014,south alabama,92,
2014,cincinnati,93,
2014,indiana,94,
2014,south carolina,95,
2014,washington st.,96,
2014,kansas,97,
2014,louisiana-lafayette,98,
2014,miami,99,
2014,eastern mich.,100,
2014,notre dame,101,
2014,miami,102,
2014,vanderbilt,103,
2014,utah,104,22
2014,central michigan,105,
2014,middle tennessee,106,
2014,tulsa,107,
2014,smu,108,
2014,ohio,109,
2014,purdue,110,
2014,florida atlantic,111,
2014,iowa st.,112,
2014,rutgers,113,
2014,umass,114,
2014,oklahoma,115,24
2014,minnesota,116,25
2015,clemson,1,1
2015,alabama,2,2
2015,oklahoma,3,3
2015,stanford,4,6
2015,southern miss,5,
2015,iowa,6,7
2015,tcu,7,10
2015,western ky.,8,
2015,north carolina,9,11
2015,houston,10,16
2015,arkansas state,11,
2015,texas tech,12,
2015,northwestern,13,12
2015,northwestern,14,12
2015,ole miss,15,15
2015,bowling green,16,
2015,memphis,17,
2015,notre dame,18,9
2015,boston college,19,
2015,west virginia,20,
2015,appalachian st.,21,
2015,ohio st.,22,
2015,oregon,23,14
2015,florida state,24,
2015,oklahoma state,25,
2015,toledo,26,
2015,ucla,27,
2015,baylor,28,19
2015,indiana,29,
2015,tulsa,30,
2015,texas a&m,31,
2015,texas,32,
2015,byu,33,
2015,marshall,34,
2015,georgia,35,25
2015,eastern mich.,36,
2015,michigan,37,17
2015,missouri,38,
2015,washington,39,
2015,louisville,40,
2015,east carolina,41,
2015,southern california,42,
2015,florida,43,18
2015,ga. southern,44,
2015,troy university,45,
2015,north carolina state,46,
2015,connecticut,47,
2015,northern ill.,48,
2015,central michigan,49,
2015,south fla.,50,
2015,mississippi state,51,
2015,miami,52,
2015,virginia tech,53,
2015,army,54,
2015,arizona state,55,
2015,georgia tech,56,
2015,south carolina,57,
2015,miami,58,
2015,vanderbilt,59,
2015,wake forest,60,
2015,penn state,61,
2015,south alabama,62,
2015,arizona,63,
2015,cincinnati,64,
2015,kentucky,65,
2015,illinois,66,
2015,ohio,67,
2015,tulane,68,
2015,la.-monroe,69,
2015,georgia state,70,
2015,auburn,71,
2015,kent state,72,
2015,idaho,73,
2015,utah,74,20
2015,fiu,75,
2015,minnesota,76,
2015,akron,77,
2015,california,78,
2015,washington st.,79,
2015,louisiana-lafayette,80,
2015,colorado,81,
2015,virginia,82,
2015,buffalo,83,
2015,temple,84,24
2015,western michigan,85,
2015,louisiana tech,86,
2015,lsu,87,21
2015,smu,88,
2015,michigan st.,89,
2015,rice,90,
2015,nebraska,91,
2015,navy,92,22
2015,new mexico st.,93,
2015,oregon state,94,
2015,umass,95,
2015,texas-el paso,96,
2015,maryland,97,
2015,texas st.,98,
2015,arkansas,99,
2015,pittsburgh,100,
2015,florida atlantic,101,
2015,rutgers,102,
2015,kansas st.,103,
2015,miami,104,
2015,purdue,105,
2015,duke,106,
2015,miami,107,
2015,tennessee,108,23
2015,texas-san antonio,109,
2015,middle tennessee,110,
2015,central florida,111,
2015,wisconsin,112,23
2015,north texas,113,
2015,syracuse,114,
2015,ball state,115,
2015,old dominion,116,
2015,iowa st.,117,
2015,kansas,118,
2016,alabama,1,1
2016,clemson,2,3
2016,washington,3,4
2016,western michigan,4,
2016,michigan,5,6
2016,western ky.,6,
2016,oklahoma,7,7
2016,ohio st.,8,
2016,texas tech,9,
2016,navy,10,25
2016,colorado,11,11
2016,louisville,12,15
2016,louisiana tech,13,
2016,penn state,14,
2016,tulsa,15,
2016,miami,16,
2016,miami,17,
2016,south fla.,18,
2016,washington st.,19,
2016,middle tennessee,20,
2016,west virginia,21,12
2016,wisconsin,22,8
2016,baylor,23,
2016,toledo,24,
2016,north carolina,25,
2016,michigan st.,26,
2016,auburn,27,17
2016,south alabama,28,
2016,oklahoma state,29,
2016,appalachian st.,30,
2016,georgia state,31,
2016,florida state,32,
2016,ole miss,33,
2016,illinois,34,
2016,tcu,35,
2016,texas a&m,36,
2016,ga. southern,37,
2016,stanford,38,16
2016,arkansas state,39,
2016,troy university,40,
2016,kansas st.,41,
2016,houston,42,
2016,oregon state,43,
2016,army,44,
2016,notre dame,45,
2016,southern california,46,
2016,texas,47,
2016,central florida,48,
2016,kent state,49,
2016,texas-el paso,50,
2016,ucla,51,
2016,louisiana-lafayette,52,
2016,texas-san antonio,53,
2016,north texas,54,
2016,purdue,55,
2016,florida,56,18
2016,minnesota,57,
2016,miami,58,
2016,tulane,59,
2016,old dominion,60,
2016,buffalo,61,
2016,oregon,62,
2016,california,63,
2016,byu,64,
2016,maryland,65,
2016,miami,66,
2016,rutgers,67,
2016,southern miss,68,
2016,wake forest,69,
2016,memphis,70,
2016,lsu,71,20
2016,northwestern,72,
2016,northwestern,73,
2016,virginia tech,74,19
2016,kansas,75,
2016,east carolina,76,
2016,cincinnati,77,
2016,pittsburgh,78,22
2016,arizona state,79,
2016,kentucky,80,
2016,missouri,81,
2016,indiana,82,
2016,rice,83,
2016,georgia,84,
2016,virginia,85,
2016,iowa st.,86,
2016,north carolina state,87,
2016,fiu,88,
2016,syracuse,89,
2016,boston college,90,
2016,arkansas,91,
2016,arizona,92,
2016,ohio,93,
2016,akron,94,
2016,idaho,95,
2016,vanderbilt,96,
2016,la.-monroe,97,
2016,bowling green,98,
2016,duke,99,
2016,marshall,100,
2016,umass,101,
2016,northern ill.,102,
2016,eastern mich.,103,
2016,georgia tech,104,
2016,south carolina,105,
2016,mississippi state,106,
2016,charlotte,107,
2016,new mexico st.,108,
2016,central michigan,109,
2016,texas st.,110,
2016,tennessee,111,21
2016,florida atlantic,112,
2016,connecticut,113,
2016,nebraska,114,21
2016,smu,115,
2016,utah,116,23
2016,iowa,117,25
2016,ball state,118,
2016,temple,119,24
2017,georgia,1,3
2017,oklahoma,2,2
2017,alabama,3,4
2017,clemson,4,1
2017,ohio st.,5,
2017,penn state,6,
2017,florida atlantic,7,
2017,auburn,8,8
2017,oklahoma state,9,
2017,wisconsin,10,6
2017,central florida,11,10
2017,miami,12,11
2017,miami,13,11
2017,tcu,14,13
2017,washington,15,12
2017,purdue,16,
2017,appalachian st.,17,
2017,arizona,18,
2017,miami,19,11
2017,troy university,20,
2017,miami,21,11
2017,texas-san antonio,22,
2017,lsu,23,14
2017,wyoming,24,
2017,notre dame,25,15
2017,south fla.,26,
2017,ohio,27,
2017,wake forest,28,
2017,fresno st.,29,
2017,ucla,30,
2017,ole miss,31,
2017,south carolina,32,
2017,toledo,33,
2017,florida,34,
2017,texas tech,35,
2017,army,36,
2017,boston college,37,
2017,stanford,38,16
2017,memphis,39,18
2017,indiana,40,
2017,boise st.,41,
2017,iowa st.,42,
2017,southern miss,43,
2017,alabama-birmingham,44,
2017,utah st.,45,
2017,iowa,46,
2017,buffalo,47,
2017,washington st.,48,
2017,michigan,49,
2017,houston,50,
2017,arkansas state,51,
2017,tulsa,52,
2017,eastern mich.,53,
2017,tulane,54,
2017,oregon,55,
2017,vanderbilt,56,
2017,virginia,57,
2017,oregon state,58,
2017,illinois,59,
2017,southern california,60,
2017,florida state,61,
2017,umass,62,
2017,air force,63,
2017,louisville,64,
2017,nebraska,65,
2017,bowling green,66,
2017,texas,67,
2017,san diego state,68,
2017,north texas,69,
2017,san jose state,70,
2017,georgia tech,71,
2017,middle tennessee,72,
2017,mississippi state,73,
2017,duke,74,
2017,tennessee,75,
2017,michigan st.,76,
2017,akron,77,
2017,idaho,78,
2017,missouri,79,
2017,temple,80,
2017,marshall,81,
2017,western michigan,82,
2017,smu,83,
2017,kent state,84,
2017,north carolina,85,
2017,utah,86,
2017,navy,87,
2017,texas-el paso,88,
2017,colorado,89,
2017,fiu,90,
2017,hawaii,91,
2017,louisiana tech,92,
2017,minnesota,93,
2017,cincinnati,94,
2017,central michigan,95,
2017,ga. southern,96,
2017,colorado st.,97,
2017,louisiana-lafayette,98,
2017,maryland,99,
2017,new mexico st.,100,
2017,nevada-las vegas,101,
2017,arkansas,102,
2017,rutgers,103,
2017,northern ill.,104,
2017,western ky.,105,
2017,new mexico,106,
2017,virginia tech,107,22
2017,california,108,
2017,kentucky,109,
2017,kansas,110,
2017,arizona state,111,
2017,nevada,112,
2017,south alabama,113,
2017,charlotte,114,
2017,byu,115,
2017,syracuse,116,
2017,baylor,117,
2017,old dominion,118,
2017,texas a&m,119,
2017,east carolina,120,
2017,rice,121,
2017,ball state,122,
2017,kansas st.,123,
2017,northwestern,124,20
2017,northwestern,125,20
2017,west virginia,126,
2017,connecticut,127,
2017,georgia state,128,
2017,la.-monroe,129,
2017,pittsburgh,130,
2017,texas st.,131,
2017,north carolina state,132,24
2018,georgia,1,3
2018,clemson,2,1
2018,alabama,3,4
2018,oklahoma,4,2
2018,ohio st.,5,
2018,utah st.,6,
2018,central florida,7,10
2018,auburn,8,8
2018,ohio,9,
2018,miami,10,11
2018,miami,11,11
2018,fresno st.,12,
2018,syracuse,13,
2018,florida,14,
2018,lsu,15,14
2018,appalachian st.,16,
2018,cincinnati,17,
2018,southern miss,18,
2018,houston,19,
2018,iowa,20,
2018,washington st.,21,
2018,mississippi state,22,
2018,army,23,
2018,alabama-birmingham,24,
2018,eastern mich.,25,
2018,toledo,26,
2018,michigan,27,
2018,tcu,28,13
2018,michigan st.,29,
2018,memphis,30,18
2018,maryland,31,
2018,penn state,32,
2018,buffalo,33,
2018,northern ill.,34,
2018,ole miss,35,
2018,notre dame,36,15
2018,south fla.,37,
2018,arizona state,38,
2018,boise st.,39,
2018,west virginia,40,
2018,bowling green,41,
2018,washington,42,12
2018,oklahoma state,43,
2018,california,44,
2018,virginia,45,
2018,louisiana tech,46,
2018,kentucky,47,
2018,byu,48,
2018,ga. southern,49,
2018,wake forest,50,
2018,louisiana-lafayette,51,
2018,tulsa,52,
2018,wisconsin,53,6
2018,akron,54,
2018,temple,55,
2018,texas,56,
2018,utah,57,
2018,arkansas state,58,
2018,coastal caro.,59,
2018,missouri,60,
2018,new mexico st.,61,
2018,fiu,62,
2018,kent state,63,
2018,stanford,64,16
2018,tennessee,65,
2018,indiana,66,
2018,miami,67,11
2018,miami,68,11
2018,arizona,69,
2018,western ky.,70,
2018,air force,71,
2018,kansas,72,
2018,wyoming,73,
2018,southern california,74,
2018,texas a&m,75,
2018,iowa st.,76,
2018,rutgers,77,
2018,oregon,78,
2018,central michigan,79,
2018,colorado st.,80,
2018,middle tennessee,81,
2018,troy university,82,
2018,nebraska,83,
2018,louisville,84,
2018,san diego state,85,
2018,umass,86,
2018,north carolina,87,
2018,ball state,88,
2018,purdue,89,
2018,boston college,90,
2018,georgia tech,91,
2018,texas tech,92,
2018,western michigan,93,
2018,ucla,94,
2018,navy,95,
2018,pittsburgh,96,
2018,tulane,97,
2018,texas st.,98,
2018,illinois,99,
2018,san jose state,100,
2018,texas-el paso,101,
2018,south carolina,102,
2018,hawaii,103,
2018,north texas,104,
2018,smu,105,
2018,kansas st.,106,
2018,duke,107,
2018,marshall,108,
2018,charlotte,109,
2018,florida atlantic,110,
2018,florida state,111,
2018,baylor,112,
2018,oregon state,113,
2018,east carolina,114,
2018,connecticut,115,
2018,georgia state,116,
2018,old dominion,117,
2018,northwestern,118,20
2018,northwestern,119,20
2018,south alabama,120,
2018,colorado,121,
2018,minnesota,122,
2018,vanderbilt,123,
2018,texas-san antonio,124,
2018,nevada-las vegas,125,
2018,arkansas,126,
2018,la.-monroe,127,
2018,nevada,128,
2018,rice,129,
2018,virginia tech,130,22
2018,new mexico,131,
2018,north carolina state,132,24
2019,clemson,1,1
2019,oklahoma,2,2
2019,appalachian st.,3,
2019,ohio st.,4,
2019,georgia,5,3
2019,alabama,6,4
2019,oregon,7,
2019,central florida,8,10
2019,louisiana-lafayette,9,
2019,auburn,10,8
2019,lsu,11,14
2019,utah,12,
2019,miami,13,11
2019,miami,14,11
2019,miami,15,11
2019,miami,16,11
2019,wisconsin,17,6
2019,baylor,18,
2019,florida,19,
2019,notre dame,20,15
2019,washington,21,12
2019,smu,22,
2019,san diego state,23,
2019,penn state,24,
2019,hawaii,25,
2019,florida atlantic,26,
2019,north carolina,27,
2019,missouri,28,
2019,kentucky,29,
2019,kansas st.,30,
2019,san jose state,31,
2019,iowa,32,
2019,illinois,33,
2019,tennessee,34,
2019,navy,35,
2019,oregon state,36,
2019,buffalo,37,
2019,cincinnati,38,
2019,kent state,39,
2019,tulane,40,
2019,memphis,41,18
2019,army,42,
2019,pittsburgh,43,
2019,south fla.,44,
2019,air force,45,
2019,south carolina,46,
2019,tcu,47,13
2019,western ky.,48,
2019,stanford,49,16
2019,colorado st.,50,
2019,minnesota,51,
2019,texas tech,52,
2019,arizona state,53,
2019,michigan st.,54,
2019,northern ill.,55,
2019,southern california,56,
2019,texas,57,
2019,florida state,58,
2019,wyoming,59,
2019,california,60,
2019,texas a&m,61,
2019,indiana,62,
2019,wake forest,63,
2019,alabama-birmingham,64,
2019,syracuse,65,
2019,ball state,66,
2019,tulsa,67,
2019,charlotte,68,
2019,colorado,69,
2019,vanderbilt,70,
2019,ga. southern,71,
2019,north texas,72,
2019,la.-monroe,73,
2019,akron,74,
2019,fiu,75,
2019,texas st.,76,
2019,michigan,77,
2019,liberty,78,
2019,umass,79,
2019,temple,80,
2019,iowa st.,81,
2019,arkansas state,82,
2019,arkansas,83,
2019,georgia tech,84,
2019,troy university,85,
2019,boise st.,86,
2019,south alabama,87,
2019,oklahoma state,88,
2019,nebraska,89,
2019,texas-el paso,90,
2019,boston college,91,
2019,duke,92,
2019,coastal carolina,93,
2019,kansas,94,
2019,arizona,95,
2019,ucla,96,
2019,texas-san antonio,97,
2019,washington st.,98,
2019,bowling green,99,
2019,new mexico st.,100,
2019,old dominion,101,
2019,west virginia,102,
2019,southern miss,103,
2019,fresno st.,104,
2019,louisville,105,
2019,georgia state,106,
2019,central michigan,107,
2019,ohio,108,
2019,purdue,109,
2019,louisiana tech,110,
2019,western michigan,111,
2019,virginia,112,
2019,utah st.,113,
2019,ole miss,114,
2019,rutgers,115,
2019,marshall,116,
2019,eastern mich.,117,
2019,connecticut,118,
2019,rice,119,
2019,toledo,120,
2019,byu,121,
2019,middle tennessee,122,
2019,northwestern,123,20
2019,northwestern,124,20
2019,east carolina,125,
2019,new mexico,126,
2019,houston,127,
2019,mississippi state,128,
2019,virginia tech,129,22
2019,nevada-las vegas,130,
2019,north carolina state,131,24
2019,nevada,132,
2019,maryland,133,
2020,georgia,1,3
2020,alabama,2,4
2020,byu,3,
2020,wisconsin,4,6
2020,ohio st.,5,
2020,auburn,6,8
2020,texas a&m,7,
2020,san jose state,8,
2020,southern california,9,
2020,marshall,10,
2020,miami,11,11
2020,miami,12,11
2020,central florida,13,10
2020,utah,14,
2020,clemson,15,1
2020,washington,16,12
2020,toledo,17,
2020,miami,18,11
2020,washington st.,19,
2020,central michigan,20,
2020,indiana,21,
2020,miami,22,11
2020,rice,23,
2020,west virginia,24,
2020,colorado,25,
2020,ohio,26,
2020,iowa,27,
2020,arizona state,28,
2020,colorado st.,29,
2020,air force,30,
2020,wake forest,31,
2020,cincinnati,32,
2020,wyoming,33,
2020,liberty,34,
2020,oregon,35,
2020,ball state,36,
2020,western michigan,37,
2020,alabama-birmingham,38,
2020,purdue,39,
2020,buffalo,40,
2020,michigan,41,
2020,san diego state,42,
2020,kent state,43,
2020,fresno st.,44,
2020,new mexico,45,
2020,california,46,
2020,ucla,47,
2020,eastern mich.,48,
2020,maryland,49,
2020,oregon state,50,
2020,oklahoma,51,2
2020,tulsa,52,
2020,boise st.,53,
2020,tcu,54,13
2020,umass,55,
2020,nevada,56,
2020,missouri,57,
2020,arizona,58,
2020,charlotte,59,
2020,smu,60,
2020,utah st.,61,
2020,minnesota,62,
2020,louisiana-lafayette,63,
2020,coastal carolina,64,
2020,northern ill.,65,
2020,houston,66,
2020,baylor,67,
2020,pittsburgh,68,
2020,iowa st.,69,
2020,bowling green,70,
2020,north carolina,71,
2020,texas,72,
2020,fiu,73,
2020,oklahoma state,74,
2020,stanford,75,16
2020,kentucky,76,
2020,nevada-las vegas,77,
2020,michigan st.,78,
2020,mississippi state,79,
2020,army,80,
2020,lsu,81,14
2020,hawaii,82,
2020,rutgers,83,
2020,notre dame,84,15
2020,north texas,85,
2020,boston college,86,
2020,nebraska,87,
2020,penn state,88,
2020,east carolina,89,
2020,texas-san antonio,90,
2020,texas-el paso,91,
2020,florida atlantic,92,
2020,navy,93,
2020,tennessee,94,
2020,kansas st.,95,
2020,akron,96,
2020,illinois,97,
2020,app state,98,
2020,southern miss,99,
2020,florida,100,
2020,ole miss,101,
2020,middle tennessee,102,
2020,troy university,103,
2020,louisville,104,
2020,georgia state,105,
2020,kansas,106,
2020,ulm,107,
2020,temple,108,
2020,south carolina,109,
2020,texas tech,110,
2020,vanderbilt,111,
2020,florida state,112,
2020,virginia,113,
2020,louisiana tech,114,
2020,western ky.,115,
2020,georgia tech,116,
2020,south alabama,117,
2020,arkansas state,118,
2020,ga. southern,119,
2020,arkansas,120,
2020,northwestern,121,20
2020,northwestern,122,20
2020,syracuse,123,
2020,memphis,124,18
2020,duke,125,
2020,south fla.,126,
2020,tulane,127,
2020,texas st.,128,
2020,virginia tech,129,22
2020,north carolina state,130,24
2021,alabama,1,1
2021,georgia,2,3
2021,michigan,3,2
2021,cincinnati,4,4
2021,baylor,5,6
2021,coastal carolina,6,
2021,notre dame,7,5
2021,pittsburgh,8,12
2021,ole miss,9,8
2021,oklahoma state,10,
2021,ohio st.,11,
2021,utah,12,11
2021,toledo,13,
2021,western ky.,14,
2021,auburn,15,
2021,tennessee,16,
2021,boise st.,17,
2021,north carolina state,18,18
2021,kent state,19,
2021,oklahoma,20,13
2021,minnesota,21,
2021,arkansas,22,24
2021,michigan st.,23,
2021,penn state,24,
2021,liberty,25,
2021,san diego state,26,
2021,byu,27,14
2021,wisconsin,28,
2021,washington,29,
2021,app state,30,
2021,illinois,31,
2021,arizona state,32,
2021,north carolina,33,
2021,san jose state,34,
2021,southern california,35,
2021,missouri,36,
2021,kansas st.,37,
2021,california,38,
2021,iowa,39,16
2021,oregon,40,15
2021,nevada,41,
2021,fresno st.,42,
2021,purdue,43,
2021,charlotte,44,
2021,miami,45,
2021,oregon state,46,
2021,miami,47,
2021,nebraska,48,
2021,army,49,
2021,tcu,50,
2021,virginia,51,
2021,ucla,52,
2021,louisiana-lafayette,53,17
2021,colorado st.,54,
2021,air force,55,
2021,alabama-birmingham,56,
2021,utah st.,57,
2021,texas,58,
2021,arkansas state,59,
2021,florida,60,
2021,colorado,61,
2021,niu,62,
2021,miami,63,
2021,buffalo,64,
2021,western michigan,65,
2021,texas-el paso,66,
2021,arizona,67,
2021,smu,68,
2021,kansas,69,
2021,south carolina,70,
2021,florida state,71,
2021,west virginia,72,
2021,texas st.,73,
2021,miami,74,
2021,marshall,75,
2021,central michigan,76,
2021,north texas,77,
2021,iowa st.,78,
2021,mississippi state,79,
2021,ball state,80,
2021,stanford,81,
2021,new mexico st.,82,
2021,southern miss,83,
2021,washington st.,84,
2021,ohio,85,
2021,rutgers,86,
2021,temple,87,
2021,central florida,88,
2021,wake forest,89,19
2021,syracuse,90,
2021,houston,91,21
2021,boston college,92,
2021,bowling green,93,
2021,troy university,94,
2021,south fla.,95,
2021,kentucky,96,20
2021,georgia state,97,
2021,texas tech,98,
2021,umass,99,
2021,georgia tech,100,
2021,navy,101,
2021,memphis,102,
2021,east carolina,103,
2021,louisville,104,
2021,new mexico,105,
2021,middle tennessee,106,
2021,wyoming,107,
2021,virginia tech,108,
2021,eastern mich.,109,
2021,south alabama,110,
2021,lsu,111,
2021,hawaii,112,
2021,nevada-las vegas,113,
2021,florida atlantic,114,
2021,fiu,115,
2021,louisiana tech,116,
2021,ga. southern,117,
2021,vanderbilt,118,
2021,tulane,119,
2021,akron,120,
2021,ulm,121,
2021,northwestern,122,
2021,northwestern,123,
2021,indiana,124,
2021,clemson,125,22
2021,duke,126,
2021,tulsa,127,
2021,rice,128,
2021,old dominion,129,
2021,texas a&m,130,23
2021,connecticut,131,
2021,maryland,132,
2021,texas-san antonio,133,25
2022,georgia,1,1
2022,michigan,2,2
2022,tcu,3,3
2022,ohio st.,4,
2022,tennessee,5,6
2022,alabama,6,5
2022,utah,7,7
2022,southern california,8,
2022,washington,9,12
2022,tulane,10,14
2022,western ky.,11,
2022,iowa st.,12,
2022,james madison,13,
2022,oregon,14,15
2022,marshall,15,
2022,texas a&m,16,
2022,penn state,17,
2022,air force,18,
2022,virginia,19,
2022,illinois,20,
2022,florida state,21,
2022,south alabama,22,
2022,san jose state,23,
2022,minnesota,24,
2022,toledo,25,
2022,georgia tech,26,
2022,iowa,27,
2022,army,28,
2022,lsu,29,16
2022,kansas st.,30,
2022,cincinnati,31,
2022,tulsa,32,
2022,louisville,33,
2022,new mexico st.,34,
2022,fresno st.,35,
2022,virginia tech,36,
2022,western michigan,37,
2022,ucla,38,18
2022,georgia state,39,
2022,mississippi state,40,
2022,kentucky,41,
2022,boise st.,42,
2022,oklahoma,43,
2022,syracuse,44,
2022,niu,45,
2022,temple,46,
2022,navy,47,
2022,nevada-las vegas,48,
2022,missouri,49,
2022,florida atlantic,50,
2022,duke,51,
2022,arkansas,52,
2022,app state,53,
2022,umass,54,
2022,northwestern,55,
2022,northwestern,56,
2022,texas st.,57,
2022,oregon state,58,
2022,colorado st.,59,
2022,arkansas state,60,
2022,ole miss,61,
2022,boston college,62,
2022,clemson,63,10
2022,miami,64,
2022,north texas,65,
2022,new mexico,66,
2022,utah st.,67,
2022,miami,68,
2022,liberty,69,
2022,wisconsin,70,
2022,ball state,71,
2022,alabama-birmingham,72,
2022,west virginia,73,
2022,houston,74,
2022,maryland,75,
2022,central florida,76,
2022,rutgers,77,
2022,stanford,78,
2022,ohio,79,
2022,pittsburgh,80,
2022,eastern mich.,81,
2022,auburn,82,
2022,wyoming,83,
2022,old dominion,84,
2022,smu,85,
2022,akron,86,
2022,charlotte,87,
2022,buffalo,88,
2022,washington st.,89,
2022,east carolina,90,
2022,texas,91,21
2022,notre dame,92,19
2022,texas-el paso,93,
2022,arizona,94,
2022,central michigan,95,
2022,miami,96,
2022,miami,97,
2022,arizona state,98,
2022,nevada,99,
2022,ulm,100,
2022,southern miss,101,
2022,kansas,102,
2022,nebraska,103,
2022,texas-san antonio,104,22
2022,oklahoma state,105,
2022,texas tech,106,
2022,louisiana-lafayette,107,
2022,wake forest,108,
2022,byu,109,
2022,louisiana tech,110,
2022,ga. southern,111,
2022,rice,112,
2022,san diego state,113,
2022,purdue,114,
2022,south carolina,115,20
2022,california,116,
2022,michigan st.,117,
2022,middle tennessee,118,
2022,bowling green,119,
2022,coastal carolina,120,
2022,hawaii,121,
2022,florida,122,
2022,vanderbilt,123,
2022,connecticut,124,
2022,baylor,125,
2022,colorado,126,
2022,south fla.,127,
2022,memphis,128,
2022,indiana,129,
2022,kent state,130,
2022,fiu,131,
2022,troy university,132,23
2022,north carolina state,133,25
2022,north carolina,134,25
2023,georgia,1,6
2023,washington,2,2
2023,michigan,3,1
2023,oregon,4,8
2023,smu,5,17
2023,alabama,6,5
2023,missouri,7,9
2023,reclassifying,8,
2023,oklahoma,9,12
2023,texas,10,3
2023,lsu,11,13
2023,penn state,12,
2023,notre dame,13,15
2023,ucla,14,
2023,florida state,15,
2023,ole miss,16,11
2023,ohio st.,17,
